id_str,week,country_or_territory,class_baseline,country_code,class_attnthree,class_attnmerged,class_attntwo
1311186636567269376,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311186569185820672,w40,Philippines,Yes,PHL,Yes,Yes,Yes
1311186525070131200,w40,Ecuador,Yes,ECU,Yes,No,No
1311186235793313792,w40,Kenya,Yes,KEN,Yes,No,Yes
1311186061272514560,w40,United States,No,USA,Don't know,No,Yes
1311185801103859712,w40,Georgia,No,GEO,Don't know,No,No
1311185758955474944,w40,Mali,Yes,MLI,Yes,Yes,Yes
1311185631603687424,w40,Nigeria,Yes,NGA,Yes,Yes,Yes
1311185375394627584,w40,Australia,No,AUS,Don't know,No,No
1311185318704447488,w40,Australia,No,AUS,Don't know,No,No
1311185292410249216,w40,Indonesia,No,IDN,Don't know,No,Yes
1311185199699353600,w40,India,Yes,IND,Yes,Yes,Yes
1311185014667849728,w40,Mexico,No,MEX,Don't know,No,Yes
1311184824552562688,w40,United States,No,USA,Don't know,No,No
1311184821067145216,w40,India,Yes,IND,Don't know,Yes,Yes
1311184652913143808,w40,India,Yes,IND,Don't know,No,No
1311184289929846784,w40,France,Yes,FRA,Yes,No,Yes
1311184193884430336,w40,Tanzania - United Republic of,No,TZA,Don't know,No,No
1311184129569034240,w40,Italy,Yes,ITA,Yes,Yes,Yes
1311184126985330688,w40,United States,No,USA,Don't know,No,No
1311184120697978880,w40,Jordan,Yes,JOR,Don't know,Yes,No
1311184007619645440,w40,India,Yes,IND,Yes,Yes,Yes
1311184000287825920,w40,Venezuela - Bolivarian Republic of,No,VEN,Don't know,Yes,No
1311183999839002624,w40,France,Yes,FRA,Yes,Yes,Yes
1311183997167435776,w40,Philippines,Yes,PHL,Yes,Yes,Yes
1311183920738611200,w40,India,No,IND,Don't know,No,No
1311183509982044160,w40,Pakistan,Yes,PAK,Yes,Yes,Yes
1311183453329580032,w40,United Kingdom,Yes,GBR,Yes,No,Yes
1311183377416904704,w40,Korea - Republic of,No,KOR,Don't know,No,No
1311183253005463552,w40,China,Yes,CHN,Don't know,No,Yes
1311183162198749184,w40,India,Yes,IND,Yes,Yes,Yes
1311183007361806336,w40,Indonesia,Yes,IDN,Yes,Yes,Yes
1311182970582044672,w40,India,Yes,IND,Yes,Yes,Yes
1311182969164488704,w40,Italy,Yes,ITA,Don't know,No,No
1311182943147061248,w40,Sweden,Yes,SWE,Yes,Yes,Yes
1311182895780773888,w40,Indonesia,Yes,IDN,Don't know,Yes,No
1311182706365980672,w40,Sri Lanka,Yes,LKA,Yes,Yes,Yes
1311182694357770240,w40,Luxembourg,Yes,LUX,Yes,Yes,Yes
1311182564930072576,w40,France,Yes,FRA,Yes,Yes,Yes
